lead,method,k,macro_f1_mean,macro_f1_std,n_folds
LeadI,NearestCentroid,0.75,0.23101683333107714,0.02503863150749973,5
LeadI,NearestCentroid,1.25,0.23642822167296015,0.023834359598922848,5
LeadI,NearestCentroid,1.75,0.2322215153510372,0.026708907732147503,5
LeadI,NearestCentroid,2.25,0.24478222952944367,0.039360719716010725,5
LeadI,NearestCentroid,2.5,0.23174198289947587,0.03791227623848185,5
LeadI,RandomForest,0.75,0.300566496690839,0.04838931373554278,5
LeadI,RandomForest,1.25,0.30201731257462866,0.044836184343196826,5
LeadI,RandomForest,1.75,0.2921974747489394,0.04856865782758742,5
LeadI,RandomForest,2.25,0.26051370900409504,0.05036785056649191,5
LeadI,RandomForest,2.5,0.2471192837547906,0.04859470075154353,5
LeadI,DecisionTree,0.75,0.2816420449018322,0.02327297489300952,5
LeadI,DecisionTree,1.25,0.2821115488658374,0.04331553798323708,5
LeadI,DecisionTree,1.75,0.29664064682753466,0.029047096929370606,5
LeadI,DecisionTree,2.25,0.23671039273695776,0.03594318309217123,5
LeadI,DecisionTree,2.5,0.22815932600876146,0.04187430194047249,5
LeadI,SVM_RBF,0.75,0.2610291470812761,0.009628878362090776,5
LeadI,SVM_RBF,1.25,0.3014626675211186,0.02318363154098877,5
LeadI,SVM_RBF,1.75,0.2826130259168641,0.037013813071755775,5
LeadI,SVM_RBF,2.25,0.2690904529850261,0.029681382206367884,5
LeadI,SVM_RBF,2.5,0.2541731498562542,0.03526559656161109,5
LeadI,ClusterPrototype,0.75,0.21671669421846027,0.01614783846459449,5
LeadI,ClusterPrototype,1.25,0.25642837656744605,0.03050186230920233,5
LeadI,ClusterPrototype,1.75,0.2671159063114114,0.012296948357242283,5
LeadI,ClusterPrototype,2.25,0.26559364696138,0.043408883317779354,5
LeadI,ClusterPrototype,2.5,0.2443065158118547,0.01649318953569733,5
LeadI,PCA_LogisticRegression,0.75,0.26603860323347084,0.014613343428549311,5
LeadI,PCA_LogisticRegression,1.25,0.2770481585097285,0.019837752266336328,5
LeadI,PCA_LogisticRegression,1.75,0.2799665542435653,0.02771266335480219,5
LeadI,PCA_LogisticRegression,2.25,0.27828528714710715,0.040586984008450254,5
LeadI,PCA_LogisticRegression,2.5,0.25700946489820725,0.034456626675814166,5
aVR,NearestCentroid,0.75,0.3066506114778905,0.033390778877925575,5
aVR,NearestCentroid,1.25,0.38556689559453716,0.036112849272785824,5
aVR,NearestCentroid,1.75,0.4129389405281924,0.029909356411243423,5
aVR,NearestCentroid,2.25,0.4063453995136843,0.04866293332380849,5
aVR,NearestCentroid,2.5,0.37061299634170564,0.034791679837266797,5
aVR,RandomForest,0.75,0.4685123319163587,0.01901214729312346,5
aVR,RandomForest,1.25,0.4801807060687812,0.043546451902472694,5
aVR,RandomForest,1.75,0.45270265065370097,0.02543930951409014,5
aVR,RandomForest,2.25,0.4168450075322033,0.03764928197854513,5
aVR,RandomForest,2.5,0.38132124371080733,0.022607588101417362,5
aVR,DecisionTree,0.75,0.42133275110869384,0.02784242374950492,5
aVR,DecisionTree,1.25,0.44875552731938867,0.03974107049923217,5
aVR,DecisionTree,1.75,0.42836323186122194,0.027772880533853732,5
aVR,DecisionTree,2.25,0.3860046714815525,0.041112427820194836,5
aVR,DecisionTree,2.5,0.36834506755026314,0.015682097443103594,5
aVR,SVM_RBF,0.75,0.45993958317196953,0.017348182932377224,5
aVR,SVM_RBF,1.25,0.45865341985932284,0.03691516148682313,5
aVR,SVM_RBF,1.75,0.42089313133100675,0.02437725328777091,5
aVR,SVM_RBF,2.25,0.4037504222937819,0.03586114797702277,5
aVR,SVM_RBF,2.5,0.36327769755893324,0.027389925860896017,5
aVR,ClusterPrototype,0.75,0.38424839938352384,0.021330799726099598,5
aVR,ClusterPrototype,1.25,0.39850540037106097,0.020605433069137535,5
aVR,ClusterPrototype,1.75,0.39778673175790047,0.03200952578324123,5
