lead,method,macro_f1_mean,macro_f1_std,fold_scores,fold_selected_k,n_folds
LeadI,NearestCentroid,0.23945528425968834,0.03281323223900782,"[0.24361832984800347, 0.17594462773948336, 0.2657871466821498, 0.24909949308683724, 0.26282682394196794]","[1.75, 2.25, 1.25, 2.25, 2.25]",5
LeadI,RandomForest,0.30496539069884016,0.04472764547046599,"[0.30921281907848736, 0.23647360231792183, 0.2843339562600722, 0.3222434062092144, 0.372563169628505]","[0.75, 1.25, 1.25, 1.25, 1.25]",5
LeadI,DecisionTree,0.2890355028645697,0.03597242835649746,"[0.3370057646390312, 0.24092438396507085, 0.2539278034081863, 0.3061743425968177, 0.3071452197137424]","[1.25, 1.75, 1.25, 1.75, 1.25]",5
LeadI,SVM_RBF,0.2860930334674918,0.04131546139795238,"[0.2337416054647521, 0.24623789202138785, 0.3310993490240916, 0.286603855364662, 0.33278246546256546]","[1.75, 1.75, 1.25, 1.25, 1.75]",5
LeadI,ClusterPrototype,0.277275881650249,0.02590913365752252,"[0.2603310768137918, 0.2604896960451625, 0.2911925460938784, 0.2525598133608761, 0.3218062759375363]","[1.75, 1.75, 1.75, 1.25, 2.25]",5
LeadI,PCA_LogisticRegression,0.2843269752214657,0.029899682921995636,"[0.27628376756331874, 0.22952202673620006, 0.3103979675289179, 0.30749588644143555, 0.29793522783745635]","[1.75, 1.75, 1.75, 2.25, 1.75]",5
LeadI,AlwaysMajorityClass,0.07060867211647207,0.004058399815015674,"[0.07152682255845942, 0.07607361963190185, 0.07068607068607069, 0.06345609065155808, 0.07130075705437026]","[null, null, null, null, null]",5
aVR,NearestCentroid,0.4027712531145289,0.039638445185475525,"[0.4237163648222303, 0.423691919864818, 0.4535693364832377, 0.34916200251492535, 0.3637166418874329]","[1.75, 1.75, 1.75, 2.25, 1.75]",5
aVR,RandomForest,0.4617259765351971,0.016964479696556834,"[0.47161115423686584, 0.4683961293770601, 0.4372440848466581, 0.4474412164826783, 0.4839372977327232]","[1.25, 1.75, 1.25, 1.25, 1.25]",5
aVR,DecisionTree,0.44743368001589323,0.04159418529374425,"[0.45784019075606974, 0.4935608415461144, 0.3877775130050093, 0.4867483213097191, 0.4112415334625531]","[1.25, 1.25, 0.75, 1.25, 1.25]",5
aVR,SVM_RBF,0.45865341985932284,0.03691516148682313,"[0.46784277239642913, 0.5250760677716227, 0.4200278330213325, 0.4485655693150134, 0.4317548567922162]","[1.25, 1.25, 1.25, 1.25, 1.25]",5
aVR,ClusterPrototype,0.4086631594886316,0.0209199424353393,"[0.4064082752784023, 0.43686124392307324, 0.3959008435690795, 0.37821628292376575, 0.42592915174883716]","[1.75, 1.25, 1.25, 1.25, 1.75]",5
aVR,PCA_LogisticRegression,0.4121923432729148,0.02238373947592339,"[0.43506154033198163, 0.43961569764923014, 0.4024022088140058, 0.37941019702920514, 0.4044720725401512]","[1.75, 1.25, 1.25, 2.25, 1.25]",5
aVR,AlwaysMajorityClass,0.09267308644671399,0.015130312186647128,"[0.09344115004492363, 0.09598214285714286, 0.10183566433566434, 0.10797918473547267, 0.06412729026036644]","[null, null, null, null, null]",5
V2,NearestCentroid,0.46159517772332437,0.03129838163195922,"[0.4954827682516081, 0.4217884609910071, 0.46819433681289413, 0.42868815457110354, 0.49382216799000905]","[1.75, 1.75, 2.25, 1.75, 2.25]",5
V2,RandomForest,0.5888017324974784,0.040701047550124186,"[0.5749333330639294, 0.5407811503623688, 0.6589708208477886, 0.5643320639741337, 0.6049912942391712]","[1.75, 1.75, 1.75, 1.25, 1.75]",5
V2,DecisionTree,0.5683336770701354,0.03353549472537783,"[0.5374583017264227, 0.526859472466167, 0.6192901436319629, 0.5869154873289159, 0.5711449801972085]","[1.75, 1.75, 1.75, 1.75, 1.75]",5
V2,SVM_RBF,0.5084614132121056,0.021354896765466463,"[0.5479192995525587, 0.4957696565722247, 0.49416470159947623, 0.49039426059979363, 0.5140591477364745]","[1.75, 1.25, 1.25, 1.75, 1.75]",5
V2,ClusterPrototype,0.4452431833648121,0.0367419244737837,"[0.4682877078281008, 0.47778228147080604, 0.4718069198427352, 0.4274103693802943, 0.3809286383021238]","[1.75, 1.75, 1.75, 2.25, 2.5]",5
V2,PCA_LogisticRegression,0.482841606944551,0.04503693757979446,"[0.4526127813387303, 0.4139489858054095, 0.51999944714728, 0.4895211034166085, 0.538125717014727]","[1.75, 1.75, 1.75, 1.75, 1.75]",5
V2,AlwaysMajorityClass,0.09267308644671399,0.015130312186647128,"[0.09344115004492363, 0.09598214285714286, 0.10183566433566434, 0.10797918473547267, 0.06412729026036644]","[null, null, null, null, null]",5
V6,NearestCentroid,0.42947357457461643,0.029478741759252622,"[0.4060183588750436, 0.4118620781178268, 0.4569798036657382, 0.3999486295749525, 0.472559002639521]","[1.25, 1.25, 1.25, 1.75, 1.75]",5
V6,RandomForest,0.5525939975147864,0.03562519062853198,"[0.5588140592494308, 0.6063934007773568, 0.5184467695688231, 0.5087387378643405, 0.5705770201139811]","[1.75, 1.25, 1.25, 1.25, 1.25]",5
V6,DecisionTree,0.5162359698829413,0.040146220935741245,"[0.5448692106494843, 0.5501026249293757, 0.4407102514120058, 0.5104441606184154, 0.5350536018054253]","[1.75, 1.75, 1.75, 1.75, 1.25]",5
V6,SVM_RBF,0.5102358722021907,0.03640643438857772,"[0.46300601077579495, 0.530391866098686, 0.4884851128486588, 0.5005512591216488, 0.5687451121661649]","[0.75, 1.75, 1.25, 1.25, 1.25]",5
V6,ClusterPrototype,0.4318132174907091,0.03150922248228251,"[0.4702296395037556, 0.4138768498134899, 0.4309375523588357, 0.3834514072656494, 0.46057063851181496]","[1.75, 1.75, 1.25, 1.25, 1.75]",5
V6,PCA_LogisticRegression,0.4730822416413911,0.0384070890462706,"[0.436785572146446, 0.4674122636224518, 0.4483823874602674, 0.46645531507946547, 0.5463756698983251]","[1.25, 0.75, 1.25, 1.25, 1.25]",5
V6,AlwaysMajorityClass,0.09267308644671399,0.015130312186647128,"[0.09344115004492363, 0.09598214285714286, 0.10183566433566434, 0.10797918473547267, 0.06412729026036644]","[null, null, null, null, null]",5
