lead,method,k,macro_f1_mean,macro_f1_std,n_folds
LeadI,RandomForest,1.25,0.3251883801815107,0.049168098572525895,5
LeadI,NearestCentroid,0.5,0.2024874907977059,0.030988376287402506,5
LeadI,NearestCentroid,0.75,0.23101683333107714,0.02503863150749973,5
LeadI,NearestCentroid,1.0,0.2416572643587716,0.02628053330253902,5
LeadI,NearestCentroid,1.25,0.23642822167296015,0.023834359598922848,5
LeadI,NearestCentroid,1.5,0.23390977971337829,0.024649277693579417,5
LeadI,NearestCentroid,1.75,0.2322215153510372,0.026708907732147503,5
LeadI,NearestCentroid,2.0,0.24972602868238178,0.034836708357884744,5
LeadI,NearestCentroid,2.25,0.24478222952944367,0.039360719716010725,5
LeadI,NearestCentroid,2.5,0.23174198289947587,0.03791227623848185,5
aVR,RandomForest,1.25,0.37245453439632276,0.017327528686604823,5
aVR,NearestCentroid,0.5,0.22511392129446994,0.028254069078003954,5
aVR,NearestCentroid,0.75,0.2318361776420828,0.03151793434825038,5
aVR,NearestCentroid,1.0,0.24611253932915486,0.02923041765683155,5
aVR,NearestCentroid,1.25,0.2844152648191704,0.022181054707512988,5
aVR,NearestCentroid,1.5,0.3155232406602192,0.027183495969150838,5
aVR,NearestCentroid,1.75,0.3223984724802366,0.018736933396298807,5
aVR,NearestCentroid,2.0,0.3312781675397446,0.03236575009336047,5
aVR,NearestCentroid,2.25,0.3286632610283086,0.04469515139974449,5
aVR,NearestCentroid,2.5,0.30255500851890993,0.04849872925565322,5
V2,RandomForest,1.25,0.4708230441123744,0.05185815406802721,5
V2,NearestCentroid,0.5,0.3406016339826883,0.03464824490341547,5
V2,NearestCentroid,0.75,0.3284106180784748,0.015297149937998591,5
V2,NearestCentroid,1.0,0.32531275014893407,0.06012031931850173,5
V2,NearestCentroid,1.25,0.3239337672197222,0.027963708622024755,5
V2,NearestCentroid,1.5,0.3392083799758118,0.03457278478459486,5
V2,NearestCentroid,1.75,0.33629567213701683,0.03501550649483141,5
V2,NearestCentroid,2.0,0.33696949934788717,0.037870285993268846,5
V2,NearestCentroid,2.25,0.33713106043814334,0.040827283619763954,5
V2,NearestCentroid,2.5,0.3264931331452696,0.04380273700364627,5
V6,RandomForest,1.25,0.40856698218541554,0.020857254611012246,5
V6,NearestCentroid,0.5,0.22573645264720174,0.028467354517090336,5
V6,NearestCentroid,0.75,0.2708784889626407,0.01987472669232914,5
V6,NearestCentroid,1.0,0.3019153871194405,0.0226466899010882,5
V6,NearestCentroid,1.25,0.3213731402749918,0.017473334777656058,5
V6,NearestCentroid,1.5,0.32277088743088317,0.025606889015479865,5
V6,NearestCentroid,1.75,0.32523914249013586,0.02447398241700906,5
V6,NearestCentroid,2.0,0.30643687467582376,0.024657116381334398,5
V6,NearestCentroid,2.25,0.28867019518688697,0.0318673750402144,5
V6,NearestCentroid,2.5,0.2734133264980545,0.03314914613592419,5
